CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"9,739","2,085","57,061",23.18,604.05,-113.05,130,604.25,607.85,390,"23,500.00",585,29.00,29.15,"1,690",4.95,29.15,16.68,"11,45,203","17,334","68,005",
,617,180,"8,543",22.64,560.60,-109.25,65,557.80,564.95,65,"23,550.00","1,040",33.80,34.30,"1,235",5.95,34.30,16.39,"3,89,526","3,206","15,148",
,"1,847",415,"56,336",21.77,515.05,-110.95,130,515.50,520.05,"1,040","23,600.00",130,39.75,40.05,65,6.85,40.00,16.05,"8,76,094","15,101","42,642",
,"1,130",417,"27,889",21.03,471.20,-102.35,65,472.10,476.95,"1,040","23,650.00",780,46.80,47.55,"1,625",9.05,47.55,15.83,"4,38,937","3,423","13,032",
,"5,879","3,499","1,74,839",21.46,439.15,-106.50,780,430.30,437.00,"1,300","23,700.00","1,300",55.45,55.95,"1,105",10.80,55.95,15.56,"10,01,401","11,337","38,571",
,"3,210","2,268","1,37,084",20.19,392.10,-104.50,845,392.35,395.95,"1,300","23,750.00",780,65.15,65.70,910,12.50,65.05,15.22,"5,92,756","5,763","17,048",
,"17,750","11,128","9,89,900",19.97,356.40,-99.90,390,355.00,356.35,"1,300","23,800.00","1,625",76.20,76.95,"1,690",15.30,76.85,15.01,"19,18,352","5,190","62,143",
,"9,957","8,845","7,07,140",19.28,317.20,-96.40,"1,040",318.00,320.65,"1,040","23,850.00",195,89.70,90.80,780,20.75,90.90,14.84,"11,58,606","-2,536","25,429",
,"22,661","15,221","16,28,914",19.13,285.15,-93.10,195,282.70,285.15,910,"23,900.00","3,445",105.00,105.75,845,21.70,105.00,14.48,"20,21,502","14,155","44,541",
,"12,988","11,225","9,42,811",18.72,252.00,-88.30,260,252.00,252.60,195,"23,950.00",650,122.35,122.90,195,26.05,122.25,14.23,"9,50,581","11,188","23,150",
,"79,314","46,564","24,03,537",18.39,221.50,-84.85,130,221.50,222.45,195,"24,000.00","1,235",142.00,142.80,520,31.70,142.80,14.07,"20,03,055","3,222","81,731",
,"19,511","13,040","8,35,563",18.08,193.10,-79.90,195,193.40,194.60,195,"24,050.00","1,300",163.50,164.25,195,36.40,164.35,13.77,"4,92,132","5,158","19,795",
,"44,544","16,618","11,87,813",17.94,168.45,-75.05,195,168.45,168.95,130,"24,100.00",195,188.00,188.70,585,42.40,189.20,13.54,"5,48,473","-9,098","30,227",
,"15,114",9,"5,76,811",17.72,145.00,-68.70,195,145.10,145.70,260,"24,150.00",195,215.00,215.95,455,48.45,215.80,13.22,"1,25,952","-12,079","7,437",
,"62,528",-241,"12,49,005",17.61,124.80,-63.00,260,124.30,124.80,"1,560","24,200.00",65,244.05,245.00,65,54.45,244.05,12.79,"2,77,401","-30,074","27,743",
,"19,419","-3,834","4,94,008",17.37,105.15,-58.65,"1,170",105.15,106.00,"1,300","24,250.00",130,275.00,277.60,520,64.10,277.60,12.60,"46,187","-6,096","4,803",
,"82,859","8,640","10,95,730",17.35,89.70,-50.30,"13,520",89.00,89.70,"2,145","24,300.00","1,365",310.05,311.00,975,67.55,310.05,11.96,"1,05,539","-12,202","27,408",
,"23,639","3,030","4,12,024",17.21,74.90,-44.70,"1,040",74.90,75.55,195,"24,350.00","1,560",342.35,349.95,780,73.40,344.80,11.15,"21,794","-1,388","5,321",
,"56,215","6,002","7,23,007",17.15,62.55,-39.45,260,63.00,63.15,"5,005","24,400.00",260,380.15,386.05,585,83.35,386.15,10.84,"37,543","-6,398","12,443",
,"14,471","-6,982","3,38,659",17.22,52.80,-33.05,260,52.15,52.80,"1,625","24,450.00","1,300",418.60,427.15,"1,300",83.40,421.05,7.58,"6,136",-465,"1,987",
,"1,06,947","4,521","11,95,795",17.24,44.00,-27.90,195,44.00,44.15,"1,820","24,500.00","1,820",460.50,464.95,715,91.35,464.90,-,"40,910","-2,016","12,188",
,"14,935","-2,242","3,18,466",17.27,36.50,-23.65,"1,560",36.05,36.50,"2,600","24,550.00","1,755",504.00,510.10,"1,300",88.35,503.55,-,"5,749",-31,"1,251",
,"45,480","7,364","6,47,771",17.26,29.90,-20.40,455,29.90,29.95,975,"24,600.00",520,544.90,552.75,520,96.00,550.00,-,"5,819",-650,"2,607",
,"18,775","3,547","3,01,202",17.38,24.95,-16.85,"1,495",24.60,24.95,130,"24,650.00",65,590.00,599.50,65,103.95,599.60,-,783,20,909,
,"50,006","16,857","5,87,615",17.41,20.35,-14.25,"1,755",20.35,20.60,455,"24,700.00",520,636.15,644.20,130,99.05,641.85,-,"3,249",-904,"1,700",
,"34,072","17,611","3,39,660",17.56,16.95,-11.60,"1,755",16.95,17.10,"2,730","24,750.00",65,680.50,691.45,130,106.90,691.35,-,430,80,572,
,"69,705","22,736","5,90,460",17.72,14.15,-9.45,65,14.00,14.15,"1,625","24,800.00",520,728.50,736.70,520,110.50,735.40,-,"2,612",-851,"2,357",
,"19,414","5,559","2,33,860",17.96,12.05,-7.55,"1,560",11.65,11.90,"2,600","24,850.00",260,776.70,788.20,130,111.45,780.80,-,253,82,392,
,"35,670","1,984","4,11,248",18.07,9.90,-6.35,65,9.80,9.90,65,"24,900.00",65,823.80,832.15,65,116.90,830.55,-,764,-140,"2,488",
